shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4ca39eaa3909,51.800746,-0.622433,29,
4ca39eaa3909,51.66353,-0.39652,30,
4ca39eaa3909,51.59162,-0.334073,31,
4ca39eaa3909,51.552331,-0.296419,32,
4ca39eaa3909,51.532033,-0.243267,33,
4ca39eaa3909,51.528376,-0.134558,34,
5e9d0503d9e5,50.895182,-1.408446,1,
5e9d0503d9e5,50.907439,-1.413602,2,
5e9d0503d9e5,50.895182,-1.408446,3,
6acba48697e2,55.952387,-3.188222,1,
6acba48697e2,55.945802,-3.218445,2,
6acba48697e2,55.976439,-3.595841,3,
6acba48697e2,55.984725,-3.714965,4,
6acba48697e2,56.00608,-3.8176,5,
6acba48697e2,56.1198,-3.935617,6,
6acba48697e2,56.185875,-3.965484,7,
6acba48697e2,56.392682,-3.440042,8,
6acba48697e2,56.456476,-2.971205,9,
6acba48697e2,56.467151,-2.87315,10,
6acba48697e2,56.500554,-2.706593,11,
6acba48697e2,56.559566,-2.588936,12,
6acba48697e2,56.712786,-2.472075,13,
6acba48697e2,56.828662,-2.478447,14,
6acba48697e2,56.966818,-2.225305,15,
6acba48697e2,57.143048,-2.09748,16,
6bddb49ae587,55.792728,-4.867192,1,
6bddb49ae587,55.780962,-4.90372,2,
6bddb49ae587,55.792728,-4.867192,3,
7d3c4e8715c1,56.820423,-5.106134,1,
7d3c4e8715c1,56.889994,-4.921609,2,
7d3c4e8715c1,56.888344,-4.837242,3,
7d3c4e8715c1,56.884259,-4.701317,4,
7d3c4e8715c1,56.760199,-4.690597,5,
7d3c4e8715c1,56.686029,-4.576864,6,
7d3c4e8715c1,56.515846,-4.762977,7,
7d3c4e8715c1,56.434648,-4.703705,8,
7d3c4e8715c1,56.39046,-4.618415,9,
7d3c4e8715c1,56.301948,-4.721643,10,
7d3c4e8715c1,56.203958,-4.722757,11,
7d3c4e8715c1,56.079848,-4.825707,12,
7d3c4e8715c1,56.012345,-4.729792,13,
7d3c4e8715c1,55.947404,-4.577848,14,
7d3c4e8715c1,55.946644,-4.566905,15,
7d3c4e8715c1,55.911917,-4.426678,16,
7d3c4e8715c1,55.904794,-4.334875,17,
7d3c4e8715c1,55.897145,-4.301943,18,
7d3c4e8715c1,55.903865,-4.224906,19,
7d3c4e8715c1,55.921305,-4.15388,20,
7d3c4e8715c1,55.955665,-4.035962,21,
7d3c4e8715c1,55.991803,-3.792239,22,
7d3c4e8715c1,55.984725,-3.714965,23,
7d3c4e8715c1,55.976439,-3.595841,24,
7d3c4e8715c1,55.945802,-3.218445,25,
7d3c4e8715c1,55.952387,-3.188222,26,
86b0987d223f,51.640247,-0.473273,1,
86b0987d223f,51.654249,-0.518312,2,
86b0987d223f,51.668109,-0.560519,3,
86b0987d223f,51.674207,-0.60759,4,
8c532af1a152,55.859741,-4.257636,1,
8c532af1a152,55.818771,-4.133045,2,
8c532af1a152,55.791666,-3.994312,3,
8c532af1a152,55.777482,-3.956991,4,
8c532af1a152,55.691034,-3.668467,5,
8c532af1a152,55.123051,-3.353538,6,
8c532af1a152,54.890646,-2.93381,7,
8c532af1a152,54.661812,-2.758035,8,
8c532af1a152,54.305248,-2.722253,9,
8c532af1a152,54.048558,-2.80791,10,
8c532af1a152,53.756871,-2.708125,11,
8c532af1a152,53.543451,-2.633131,12,
8c532af1a152,53.385539,-2.60285,13,
8c532af1a152,53.265985,-2.602666,14,
8c532af1a152,53.190533,-2.494594,15,
8c532af1a152,53.089643,-2.432977,16,
8c532af1a152,52.803909,-2.122037,17,
8c532af1a152,52.770032,-1.92955,18,
8c532af1a152,52.686909,-1.800236,19,
8c532af1a152,52.63713,-1.687269,20,
8c532af1a152,52.526389,-1.463874,21,
8c532af1a152,52.379108,-1.250478,22,
8c532af1a152,52.0343,-0.774143,23,
8c532af1a152,51.995345,-0.736316,24,
8c532af1a152,51.800746,-0.622433,25,
8c532af1a152,51.66353,-0.39652,26,
8c532af1a152,51.59162,-0.334073,27,
8c532af1a152,51.552331,-0.296419,28,
8c532af1a152,51.532033,-0.243267,29,
8c532af1a152,51.528376,-0.134558,30,
8c5bac84c8d2,51.470057,-0.490581,1,
8c5bac84c8d2,51.47273,-0.45072,2,
8c5bac84c8d2,51.505962,-0.378613,3,
8c5bac84c8d2,51.51364,-0.319784,4,
8c5bac84c8d2,51.514847,-0.301752,5,
8c5bac84c8d2,51.516451,-0.176845,6,
ac4e0fffaebd,50.895182,-1.408446,1,
ac4e0fffaebd,50.762371,-1.296692,2,
ac4e0fffaebd,50.895182,-1.408446,3,
b295495ffbfb,50.121682,-5.532467,1,
b295495ffbfb,50.170478,-5.444318,2,
b295495ffbfb,50.210424,-5.297472,3,
b295495ffbfb,50.233241,-5.225975,4,
b295495ffbfb,50.26383,-5.064867,5,
b295495ffbfb,50.339507,-4.789406,6,
b295495ffbfb,50.355317,-4.70472,7,
b295495ffbfb,50.407497,-4.665464,8,
b295495ffbfb,50.445856,-4.662971,9,
b295495ffbfb,50.446848,-4.467499,10,
b295495ffbfb,50.394265,-4.308451,11,
b295495ffbfb,50.407348,-4.209157,12,
b295495ffbfb,50.377817,-4.143363,13,
b295495ffbfb,50.393579,-3.904458,14,
b295495ffbfb,50.435847,-3.688722,15,
b295495ffbfb,50.52957,-3.599193,16,
b295495ffbfb,50.548047,-3.494686,17,
b295495ffbfb,50.580806,-3.464648,18,
b295495ffbfb,50.599051,-3.444018,19,
b295495ffbfb,50.729152,-3.543661,20,
b295495ffbfb,50.917529,-3.359957,21,
b295495ffbfb,51.023656,-3.102133,22,
b295495ffbfb,51.128073,-2.990288,23,
b295495ffbfb,51.43354,-2.608314,24,
b295495ffbfb,51.449143,-2.581323,25,
b295495ffbfb,51.377683,-2.357034,26,
b295495ffbfb,51.462486,-2.115403,27,
b295495ffbfb,51.565473,-1.78551,28,
b295495ffbfb,51.610955,-1.242891,29,
b295495ffbfb,51.521491,-1.133045,30,
b295495ffbfb,51.458782,-0.971854,31,
b295495ffbfb,51.47553,-0.863295,32,
b295495ffbfb,51.518666,-0.722659,33,
b295495ffbfb,51.511877,-0.591505,34,
b295495ffbfb,51.505962,-0.378613,35,
b295495ffbfb,51.514847,-0.301752,36,
b295495ffbfb,51.516451,-0.176845,37,
bfbc875feb13,55.952387,-3.188222,1,
bfbc875feb13,55.945802,-3.218445,2,
bfbc875feb13,55.926682,-3.243453,3,
bfbc875feb13,55.691034,-3.668467,4,
c9a0a7f6b6b5,55.035878,-1.71208,1,
c9a0a7f6b6b5,54.968221,-1.617282,2,
c9a0a7f6b6b5,54.951566,-1.555768,3,
c9a0a7f6b6b5,54.956961,-1.487778,4,
c9a0a7f6b6b5,54.95865,-1.462771,5,
c9a0a7f6b6b5,54.946775,-1.420777,6,
c9a0a7f6b6b5,54.929534,-1.386693,7,
c9a0a7f6b6b5,54.917837,-1.383751,8,
c9a0a7f6b6b5,54.910648,-1.383861,9,
c9a0a7f6b6b5,54.905507,-1.382377,10,
cc16c331b577,53.083338,-1.568506,1,
cc16c331b577,53.034799,-1.56899,2,
cc16c331b577,53.017642,-1.548292,3,
cc16c331b577,52.987749,-1.486036,4,
cc16c331b577,53.017642,-1.548292,5,
cc16c331b577,53.034799,-1.56899,6,
cc16c331b577,53.083338,-1.568506,7,
cf5d46f539c2,51.458782,-0.971854,1,
cf5d46f539c2,51.47553,-0.863295,2,
cf5d46f539c2,51.518666,-0.722659,3,
cf5d46f539c2,51.511877,-0.591505,4,
cf5d46f539c2,51.505962,-0.378613,5,
cf5d46f539c2,51.514847,-0.301752,6,
cf5d46f539c2,51.516451,-0.176845,7,
cf66eb69d7c9,51.470057,-0.490581,1,
cf66eb69d7c9,51.47273,-0.45072,2,
cf66eb69d7c9,51.505962,-0.378613,3,
cf66eb69d7c9,51.514847,-0.301752,4,
cf66eb69d7c9,51.516451,-0.176845,5,
d6f248a856e2,57.143048,-2.09748,1,
d6f248a856e2,56.966818,-2.225305,2,
d6f248a856e2,56.828662,-2.478447,3,
d6f248a856e2,56.712786,-2.472075,4,
d6f248a856e2,56.559566,-2.588936,5,
d6f248a856e2,56.500554,-2.706593,6,
d6f248a856e2,56.467151,-2.87315,7,
d6f248a856e2,56.456476,-2.971205,8,
d6f248a856e2,56.37509,-2.893712,9,
d6f248a856e2,56.316974,-3.008758,10,
d6f248a856e2,56.273776,-3.122265,11,
d6f248a856e2,56.112048,-3.167021,12,
d6f248a856e2,56.057069,-3.233192,13,
d6f248a856e2,56.034665,-3.396186,14,
d6f248a856e2,55.986305,-3.381619,15,
d6f248a856e2,55.945802,-3.218445,16,
d6f248a856e2,55.952387,-3.188222,17,
d8286c442f83,57.143048,-2.09748,1,
d8286c442f83,56.966818,-2.225305,2,
d8286c442f83,56.828662,-2.478447,3,
d8286c442f83,56.712786,-2.472075,4,
d8286c442f83,56.559566,-2.588936,5,
d8286c442f83,56.500554,-2.706593,6,
d8286c442f83,56.467151,-2.87315,7,
d8286c442f83,56.456476,-2.971205,8,
d8286c442f83,56.37509,-2.893712,9,
d8286c442f83,56.316974,-3.008758,10,
d8286c442f83,56.273776,-3.122265,11,
d8286c442f83,56.162348,-3.143007,12,
d8286c442f83,56.112082,-3.343183,13,
d8286c442f83,56.068179,-3.452529,14,
d8286c442f83,56.034665,-3.396186,15,
d8286c442f83,55.986305,-3.381619,16,
d8286c442f83,55.945802,-3.218445,17,
d8286c442f83,55.952387,-3.188222,18,
d837e923c0e2,55.952387,-3.188222,1,
d837e923c0e2,55.945802,-3.218445,2,
d837e923c0e2,55.919037,-3.502107,3,
d837e923c0e2,55.899112,-3.640969,4,
d837e923c0e2,55.863973,-3.982897,5,
d837e923c0e2,55.866909,-4.028278,6,
d837e923c0e2,55.853522,-4.160034,7,
d837e923c0e2,55.85712,-4.225429,8,
d837e923c0e2,55.862323,-4.250658,9,
d837e923c0e2,55.889495,-4.321641,10,
d837e923c0e2,55.904794,-4.334875,11,
d837e923c0e2,55.911917,-4.426678,12,
d837e923c0e2,55.946644,-4.566905,13,
d837e923c0e2,55.947404,-4.577848,14,
d837e923c0e2,56.012345,-4.729792,15,
d837e923c0e2,56.079848,-4.825707,16,
d837e923c0e2,56.203958,-4.722757,17,
d837e923c0e2,56.301948,-4.721643,18,
d837e923c0e2,56.39046,-4.618415,19,
d837e923c0e2,56.434648,-4.703705,20,
d837e923c0e2,56.515846,-4.762977,21,
d837e923c0e2,56.686029,-4.576864,22,
d837e923c0e2,56.760199,-4.690597,23,
d837e923c0e2,56.884259,-4.701317,24,
d837e923c0e2,56.888344,-4.837242,25,
d837e923c0e2,56.889994,-4.921609,26,
d837e923c0e2,56.820423,-5.106134,27,
e57ebd2c55c3,51.54674,-0.102077,1,
e57ebd2c55c3,51.548374,-0.091912,2,
e57ebd2c55c3,51.544513,-0.076215,3,
e57ebd2c55c3,51.539121,-0.076443,4,
e57ebd2c55c3,51.531932,-0.076746,5,
e57ebd2c55c3,51.522922,-0.075684,6,
e57ebd2c55c3,51.519467,-0.059757,7,
e57ebd2c55c3,51.510931,-0.057454,8,
e57ebd2c55c3,51.503718,-0.05632,9,
e57ebd2c55c3,51.500975,-0.053555,10,
e57ebd2c55c3,51.498231,-0.050791,11,
e57ebd2c55c3,51.492791,-0.048142,12,
e57ebd2c55c3,51.475311,-0.040385,13,
ecd93fa6eedc,55.859741,-4.257636,1,
ecd93fa6eedc,55.818771,-4.133045,2,
ecd93fa6eedc,55.791666,-3.994312,3,
ecd93fa6eedc,55.777482,-3.956991,4,
ecd93fa6eedc,55.691034,-3.668467,5,
ecd93fa6eedc,55.123051,-3.353538,6,
ecd93fa6eedc,54.890646,-2.93381,7,
ecd93fa6eedc,54.661812,-2.758035,8,
ecd93fa6eedc,54.305248,-2.722253,9,
ecd93fa6eedc,54.048558,-2.80791,10,
ecd93fa6eedc,53.756871,-2.708125,11,
ecd93fa6eedc,53.543451,-2.633131,12,
ecd93fa6eedc,53.385539,-2.60285,13,
ecd93fa6eedc,53.265985,-2.602666,14,
ecd93fa6eedc,53.190533,-2.494594,15,
ecd93fa6eedc,53.089643,-2.432977,16,
ecd93fa6eedc,52.803909,-2.122037,17,
ecd93fa6eedc,52.770032,-1.92955,18,
ecd93fa6eedc,52.686909,-1.800236,19,
ecd93fa6eedc,52.63713,-1.687269,20,
ecd93fa6eedc,52.526389,-1.463874,21,
ecd93fa6eedc,52.379108,-1.250478,22,
ecd93fa6eedc,52.294727,-1.086471,23,
ecd93fa6eedc,52.237509,-0.906652,24,
ecd93fa6eedc,52.0343,-0.774143,25,
ecd93fa6eedc,51.995345,-0.736316,26,
ecd93fa6eedc,51.800746,-0.622433,27,
ecd93fa6eedc,51.66353,-0.39652,28,
ecd93fa6eedc,51.59162,-0.334073,29,
ecd93fa6eedc,51.552331,-0.296419,30,
ecd93fa6eedc,51.532033,-0.243267,31,
ecd93fa6eedc,51.528376,-0.134558,32,
