table	rows	sha256
restriction_exception	50	145504f364c5a091b4caaf29d586c6d0f3edee0ef5ef9aeda116cad1920ce184
restriction_header	1682	da02932aa472766c33c1d2dce28fe0eb70cfd9154ae6f52acd4d7beb0f274bfb
restriction_header_date	6694	1f2953778a38a912e2c01cb815f9d801e40064e15f12212d09da15933fcb95cb
restriction_railcard	326724	79d9550f4308a67d29207459388423a45431843e7dbbaf401d59d0117a9361e7
restriction_ticket_calendar	1280	2590aea7f8d79bb12990172d75b19e75f095c171740a5d6e56fabaa6771105b1
restriction_time	66206	b795c4a25324fb7d2981f7d6054c3240f168f8091fa2a40887918c2897508cc3
restriction_time_date	32300	36c4ea4e88dfd6978f098411a018ad3e809350fa6ce0d17cefc2b0eb409ee41f
restriction_time_toc	8690	092334fba2ffcfc2fa8ab8977468bd9d715b5766703d516a3f5780d8cefe8e35
restriction_train	15428	603072d1c4b9bf7e8abba21b27582aa5069f82f60efaeef5d7eccb9871f84d26
restriction_train_date	950	32594570870494894b2ed679916402b377271bf83ef17abcb55e73738a5d1e97
restriction_train_quota	8702	6dc7ee6860404e1cca160cb9c0511b8a84d4fdf15244b9f1554a5a8a65594a66
route	1480	19cbe1e06dbcde867181f4c58cc72bf2e8d49cdc8ae9251b2ead0b686a8bc43d
routeing_node	356	3750699541cef3c93b4585882f31f93ca85f381b0e7c531c7eda7c6395da7bf7
routeing_point	272	448fc9be94d72a06625e6267d9d1ce9adf4fc6db6d35098f1bffeb874f82ee39
route_data	9980	123396480c35d6596e1f15fb44a5808a048c962b8dda6e16e505e244625a9e77
route_location	1315	cfb31669f46f222a3beb274b88b1f53193db24fdff96954f02ccfeb8ef8b70f5
rover	792	7a9a49d7a241889b78f07ece7648679066edfdbfcfac40e0b4f2ee9853def04e
rover_price	5479	5877d25593cd43a92c1bc6c41007469a545b5f2eef16f7ce494e5f421542c56a
schedule	424684	2f87fab4ec395c95656ffb02253d7ea1deaa24758e02404619eb44800418cae7
schedule_extra	378115	cefd9d0afdfa8a428e053b115cae5be11c7664a01bf9f5e85ab7295574c1b1a5
service_change	87628	feec23077a27469365f3e9ce29160027faf0c919ada57886fe5a667a24ee00bf
station_cluster	43713	4bfd58b3603ba58d750ab5fd3b0a1469a9beac7c41de45388447743e51690088
station_group	67	9eb15aec78f4654c84a17b9b638d98629feb196b9cd3bdb50b1285d3a3630b21
station_link	5866	1709ada7a20bc6912da54ec3fb793e96c446173bdda3d915a319bfee4074156a
station_routeing_point	2608	f1092357dc1c15885604c6712bfd04e26915336137bfa695c5f5189ee4a27a5d
status	385	4b254a25aa001dd80a6e3483848253146e920bddaababa46628064633bdc0508
status_discount	7700	e9953f3be93abbf6959e12795867f690c99b9b38947a1e377381dbf9997bc7df
stop_time	6961761	a8d20a45a62aa0eca1eb2866879f5ec41115bea104601f03528050cbbd22b30a
supplement	259	511021a03e40661bea85ce820f3f426bc2b871af2bb1f5d4a9381becc5b78cf2
supplement_override	23	7b39d67b9597be1e4a5bd2d0f663c9395c2718c9124b1e5bbe0bc774993fd120
supplement_rule	776	46b19f3377fad83c7e11e927cf441ba81a148f2ee4d1f29d3c3093006276100c
supplement_rule_applies	3132	430f3092cc8018ea7c7bc3b338bad69ead610a3403b5b1b6b2f9d3bf2b6da41d
supplement_rule_supplement	961	cc55d70fafb041746af97ae303ef937b5eea2f3dfe339eba12b2bc09ea975b28
ticket_type	4124	8c234c5ab9c9eec1f2b05e6233d1484259720086c8ae9ccf1629b697f833bdcd
ticket_validity	104	c7091ef892fdc1e053c318b45943a63d0244f19066e72213c2db4b8831c7f029
tiploc	12047	e01035da301df3e172c78f2590c7b6cab699b339c824f54861676c932746c2a5
toc	86	abaaed35eea4ab213e0ebd3c5f650927a08192e3ff97dfa3e2b858dafd9015ac
toc_fare	125	aa1fb8351a3042c58e74ac88a285aceb876d081dd0a71b73e6e2ba4190cf525d
toc_interchange	35	ed5afe974ff4606d3edd40b556730ea22fa64547deb8c0e45c86404fc5a930f7
toc_specific_ticket	18934	331d86e7e0388335f3e75806ac7eff57603fdea6d77a84a7ea384129ca2671d3
z_schedule	5383	bfd3e91d52ab5c30a3a2a27141422cc81664014635baa4f67538564d689ca14e
z_schedule_extra	16149	9f083201b073d211a621385451dc80438b0105c0ec501a53e9be42cb81794e8e
z_stop_time	20931	d01139b2dcdd7fe2e4d26f4d44713d169c4aa24b50915d10552f3793bc80d762
